source_id,机构,日期,标题,类型,地区,覆盖议题,关键数据,url,可信度,备注
S011,广州市生态环境局,2025,宠物无害化处置中心项目环境影响报告表公示稿,环评文件,广州,设施建设、环保合规、选址,专门宠物处理设施选址、工艺、污染防治和法规符合性说明,https://sthjj.gz.gov.cn/attachment/7/7919/7919888/10216161.pdf,很高,已附PDF
S012,日本环境省,2010,業種追加の検討「動物の死体火葬・埋葬業者」について,中央政策讨论PDF,日本,行业登记、移动火化、从业要求,讨论将动物遗体火葬/埋葬经营者纳入监管的必要性、法律路径和遵守义务,https://www.env.go.jp/council/content/i_10/900435347.pdf,很高,已附PDF
S013,日本环境省,历史通达,動物霊園事業に係る廃棄物の定義等について,中央政府通达,日本,动物灵园业务、火化设施,接收、火化、墓地埋葬和供养流程；示例场地8952平方米、2台火化炉、炉温800℃,https://www.env.go.jp/hourei/11/000296.html,很高,日本成熟度实证
S014,日本环境省,2010-11-29,中央環境審議会動物愛護部会小委員会会议记录,政府会议记录,日本,监管讨论历史,讨论动物遗体火葬埋葬业是否增加为受监管业种,https://www.env.go.jp/council/14animal/y143-08a.html,很高,反映制度演进
S015,RSPCA,近年调查,What our survey data tells us about pet grief,动物福利组织调查,英国,宠物丧失、悲伤、生命教育,67%对悲伤强度震惊；93%心碎或深度悲伤；60%内疚；55%孤独；约半数出现抑郁或焦虑症状,https://www.rspca.org.uk/adviceandwelfare/pets/bereavement/survey,高,用于生命教育和哀伤支持
S016,Testoni等,2019,Pet Grief: Tools to Assess Owners' Bereavement,同行评议论文,国际,宠物丧失量表与样本,样本中死亡宠物61%犬、35%猫、4%其他；可参考量表设计,https://pmc.ncbi.nlm.nih.gov/articles/PMC6406392/,很高,不可直接外推中国
S017,百度指数,现行平台,百度指数,官方数据平台,中国,搜索趋势,可查询宠物殡葬、宠物火化、宠物善终等；通常需登录后手工导出,https://index.baidu.com/,很高,未伪造指数数值
S018,巨潮资讯,现行平台,上市公司信息披露平台,法定披露平台,中国,上市公司关注度,可检索年报、半年报和投资者关系记录中的相关关键词,https://www.cninfo.com.cn/,很高,需逐份全文检索
S019,American Pet Products Association,行业统计页,Industry Trends & Stats,美国行业协会,美国,宠物产业规模、家庭渗透,美国宠物产业底盘来源；宠物殡葬通常未单列,https://americanpetproducts.org/industry-trends-and-stats,高,协会口径
S020,Grand View Research,2026版,"Pet Funeral Services Market Size, Share Report",商业研究机构,全球,全球宠物殡葬市场预测,2025年17亿美元；2026年19亿美元；2033年36亿美元；CAGR 9.6%,https://www.grandviewresearch.com/industry-analysis/pet-funeral-services-market-report,中,商业报告
N001,央视网/2026中国宠物行业白皮书,2026-01-05,《2026年中国宠物行业白皮书》正式发布：市场规模迈过3100亿大关,白皮书发布报道,中国,宠物消费大盘、犬猫数量、年均消费、服务占比,2025年城镇犬猫消费市场3126亿元，预计2028年4050亿元；2025年城镇犬猫数量1.26亿只；犬5343万只，猫7289万只；服务市场份额6.5%,https://business.cctv.com/2026/01/05/ARTIdmv2AWmVeRVodaZYLOvQ260105.shtml,很高,用于说明宠物殡葬需求的宠物经济底盘，不等于殡葬市场规模
N002,IBISWorld,2026页面/2024数据,Pet Cremation Services in the US - Market Size,商业市场研究,美国,美国宠物火化市场规模,2024年美国宠物火化服务市场规模13亿美元；2024年增长1.3%；2019-2024年CAGR 12.5%,https://www.ibisworld.com/united-states/market-size/pet-cremation-services/6364/,中高,商业研究页，适合国际成熟度对比
N003,IBISWorld,2026页面/2024数据,Pet Funeral & Cremation Services in the US - Employment,商业市场研究,美国,美国从业人数与企业规模,2024年美国宠物殡葬与火化服务从业3324人；平均每家企业8.1人,https://www.ibisworld.com/united-states/employment/pet-funeral-cremation-services/6528/,中高,用于说明成熟市场仍以小型服务主体为主
N004,澎湃新闻,2026-04-21,专访｜王英豪：宠物殡葬本质上是情感服务，门槛低天花板高,人物访谈,中国,从业者画像、入行动机、情感劳动,从家具设计师转行，从学徒到开店，坚持5年左右；宠物殡葬被定位为情感服务,https://www.thepaper.cn/newsDetail_forward_33011901,高,人物样本，不可外推全国画像
N005,新京报,2026-04-22,一位宠物殡葬师眼中的生死离别,人物口述,中国,死亡教育、宠物丧失、从业感受,王英豪从业第六年，记录宠物主人告别故事，讨论死亡与分离,https://m.bjnews.com.cn/detail/1776825546168623.html,高,适合写生命教育与个体故事
N006,扬子晚报/紫牛新闻,2026-04-04,4.7万家企业撑起宠物“身后事”，宠物殡葬师讲述他遇到的特殊告别,媒体报道,中国,企业数量、从业者故事,企查查称截至2026年3月底现存4.7万家宠物殡葬相关企业；华北28.3%、华东25.9%；2025年注册8534家,https://www.yzwb.net/news/sh/202604/t20260404_338863.html,中高,相关企业口径大于经营范围含宠物殡葬服务口径
